GEOID20,STATEFP20,COUNTYFP20,NAME20,CountyName,SubdivisionName,SubdivisionType,SLDLST20,SLDUST20,CD116FP,SLDLST22,SLDUST22,CDNew,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_mcg,uss_16_rep_too,atg_16_dem_sha,atg_16_rep_raf,uss_18_dem_cas,uss_18_rep_bar,gov_18_dem_wol,gov_18_rep_wag,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv,Tot_2010_tot,Tot_2010_vap,Tot_2019_cvap
42095000960,42,095,NORTHAMPTON WARD 03,Northampton,Northampton,Borough,183,018,07,183,14,7,4144,339,3566,114,0,23,0,17,85,3284,209,2898,85,0,22,0,16,54,769.3,1109.7,794.8,1067.3,832.6,973.5,755.5,685.4,803.9,652.8,1050.2,798.9,669.1,779.7,,,897.8,791.2,4030,3123,3080
42095000940,42,095,NORTHAMPTON WARD 01,Northampton,Northampton,Borough,183,018,07,183,14,7,2333,174,2038,37,0,13,0,1,70,1807,100,1627,32,0,9,0,1,38,423.4,601.7,451.0,568.2,489.4,533.7,435.2,393.9,457.9,372.2,567.9,454.6,383.1,446.6,,,493.9,451.4,2190,1683,1477
42095000950,42,095,NORTHAMPTON WARD 02,Northampton,Northampton,Borough,183,018,07,183,14,7,2623,298,2098,79,1,30,1,12,104,2055,174,1754,57,1,16,0,9,44,396.6,594.0,407.2,567.0,458.4,503.8,401.5,335.8,415.9,328.7,554.9,420.7,332.2,408.7,,,465.9,415.9,2431,1970,1905
42095000008,42,095,ALLEN DISTRICT NORTH,Northampton,Allen,Township,183,040,07,183,14,7,2566,181,2219,41,0,31,0,16,78,2148,120,1914,27,0,25,0,16,46,534.9,890.7,550.5,865.7,590.4,817.0,544.3,638.2,589.6,596.7,857.8,558.6,617.5,566.9,,,761.7,561.9,2113,1667,1918
42095000012,42,095,ALLEN DISTRICT SOUTH,Northampton,Allen,Township,183,040,07,183,14,7,2890,201,2367,145,0,88,0,24,65,2304,136,1948,110,0,65,0,14,31,425.9,709.8,438.3,690.0,470.0,651.2,433.4,508.8,469.6,475.7,683.7,444.7,492.2,451.5,,,607.1,447.4,2156,1707,1957
42095000320,42,095,BETHLEHEM WARD 17,Northampton,Bethlehem,City,135,018,07,135,18,7,1247,933,150,93,0,23,0,7,41,915,654,129,72,0,22,0,4,34,344.4,57.8,314.5,52.8,316.5,49.8,214.9,24.9,217.9,27.9,53.4,325.1,26.4,216.4,,,42.6,281.6,1309,933,777
42095000347,42,095,BETHLEHEM WARD 03 DISTRICT 01,Northampton,Bethlehem,Township,135,018,07,137,18,7,1282,155,977,75,0,46,0,0,29,1105,115,881,55,0,39,0,0,15,295.4,260.2,290.1,269.4,304.8,245.2,325.0,218.0,347.0,196.0,258.3,296.8,207.0,336.0,,,237.8,312.5,1155,902,871
42095000339,42,095,BETHLEHEM WARD 02 DISTRICT 01,Northampton,Bethlehem,Township,135,018,07,137,18,7,1970,354,1367,112,5,49,2,5,76,1585,254,1176,72,4,35,2,5,37,415.3,406.4,421.3,397.7,451.0,371.9,405.4,275.6,426.4,254.7,392.0,429.2,265.1,415.9,,,341.3,423.9,1900,1548,1528
42095000364,42,095,BETHLEHEM WARD 04 DISTRICT 02,Northampton,Bethlehem,Township,138,018,07,137,18,7,1845,167,1421,65,0,126,0,12,54,1522,119,1205,57,0,99,0,8,34,589.4,667.6,553.8,697.5,587.8,660.7,295.6,311.2,314.6,292.3,675.3,577.0,301.8,305.1,,,525.9,468.2,1743,1314,1248
42095000356,42,095,BETHLEHEM WARD 03 DISTRICT 05,Northampton,Bethlehem,Township,138,018,07,137,18,7,1434,150,1026,74,0,153,0,3,28,1157,103,877,55,0,109,0,2,11,166.3,182.1,161.9,185.9,167.6,177.8,302.0,291.0,334.0,256.0,181.9,165.3,273.5,318.0,,,218.6,226.4,1338,976,972
42095000344,42,095,BETHLEHEM WARD 02 DISTRICT 02,Northampton,Bethlehem,Township,135,018,07,137,18,7,1875,281,1342,109,1,50,1,10,81,1496,176,1135,82,1,46,0,7,49,467.2,476.0,459.7,484.5,498.2,442.9,440.0,279.0,464.0,269.0,467.8,475.1,274.0,452.0,,,390.3,465.8,1869,1445,1403
